Kanjidic2 Heisig CSV header  3007 Heisig rows and max 12 meanings from first 12,155 entries (max 14 meanings)
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
較,1077,8F03,1277,contrast,compare,,,,,,,,,, 
郭,1076,90ED,1842,enclosure,quarters,fortification,red-light district,,,,,,,, 
閣,822,95A3,1624,tower,tall building,palace,,,,,,,,, 
隔,1078,9694,1312,isolate,alternate,distance,separate,gulf,,,,,,, 
革,821,9769,1893,leather,become serious,skin,hide,pelt,,,,,,, 
学,10,5B66,324,study,learning,science,,,,,,,,, 
岳,1082,5CB3,1330,point,peak,mountain,,,,,,,,, 
楽,218,697D,1735,music,comfort,ease,,,,,,,,, 
額,635,984D,295,forehead,tablet,plaque,framed picture,sum,amount,volume,,,,, 
顎,,984E,2795,jaw,chin,gill,,,,,,,,, 
掛,1083,639B,674,hang,suspend,depend,arrive at,tax,pour,,,,,, 
笠,,7B20,939,bamboo hat,one's influence,,,,,,,,,, 
樫,,6A2B,2491,evergreen oak,(kokuji),,,,,,,,,, 
橿,,6A7F,2509,oak,,,,,,,,,,, 
梶,,68B6,2502,sculling oar,,,,,,,,,,, 
鰍,,9C0D,2823,bullhead,,,,,,,,,,, 
潟,1084,6F5F,2039,lagoon,,,,,,,,,,, 
割,823,5272,1553,proportion,comparatively,divide,cut,separate,split,,,,,, 
喝,1086,559D,454,hoarse,scold,,,,,,,,,, 
恰,,6070,2281,just as,as though,fortunately,,,,,,,,, 
括,1085,62EC,661,fasten,tie up,arrest,constrict,,,,,,,, 
活,244,6D3B,143,lively,resuscitation,being helped,living,,,,,,,, 
渇,1087,6E07,451,thirst,dry up,parch,,,,,,,,, 
滑,1088,6ED1,1289,slippery,slide,slip,flunk,,,,,,,, 
葛,,845B,2398,arrowroot,kudzu,,,,,,,,,, 
褐,1089,8910,453,brown,woollen kimono,,,,,,,,,, 
轄,1090,8F44,1552,control,wedge,,,,,,,,,, 
且,1091,4E14,2034,moreover,also,furthermore,,,,,,,,, 
鰹,,9C39,2822,bonito,,,,,,,,,,, 
叶,,53F6,2173,grant,answer,,,,,,,,,, 
樺,,6A3A,2515,birch,dark red,,,,,,,,,, 
鞄,,9784,2785,suitcase,bag,briefcase,,,,,,,,, 
株,824,682A,222,stocks,stump,shares,stock,counter for small plants,,,,,,, 
兜,,515C,2854,helmet,head piece,,,,,,,,,, 
竃,,7AC3,2617,kitchen stove,furnace,oven,hearth,,,,,,,, 
蒲,,84B2,1838,bullrush,flag,cattail,,,,,,,,, 
釜,,91DC,2332,kettle,cauldron,iron pot,,,,,,,,, 
鎌,,938C,1599,sickle,scythe,trick,,,,,,,,, 
噛,,565B,2172,chew,bite,gnaw,,,,,,,,, 
鴨,,9D28,2835,wild duck,easy mark,,,,,,,,,, 
茅,,8305,2385,miscanthus reed,,,,,,,,,,, 
粥,,7CA5,2243,rice gruel,,,,,,,,,,, 
刈,1092,5208,1488,reap,cut,clip,trim,prune,,,,,,, 
苅,,82C5,2387,cutting (grass),,,,,,,,,,, 
瓦,,74E6,1031,tile,gram,,,,,,,,,, 
乾,1099,4E7E,463,drought,dry,dessicate,drink up,heaven,emperor,,,,,, 
侃,,4F83,2123,strong,just,righteous,peace-loving,,,,,,,, 
冠,1097,51A0,304,crown,best,peerless,,,,,,,,, 
寒,245,5BD2,1526,cold,,,,,,,,,,, 
刊,636,520A,1650,publish,carve,engrave,,,,,,,,, 
勘,1100,52D8,1769,intuition,perception,,,,,,,,,, 
勧,828,52E7,864,persuade,recommend,advise,encourage,offer,,,,,,, 
巻,826,5DFB,1207,scroll,volume,book,part,roll up,wind up,tie,coil,counter for texts (or book scrolls),,, 
喚,1103,559A,1042,yell,cry,scream,,,,,,,,, 
堪,1104,582A,1770,withstand,endure,support,resist,,,,,,,, 
姦,,59E6,2194,wicked,mischief,seduce,rape,noisy,,,,,,, 
完,440,5B8C,187,perfect,completion,end,,,,,,,,, 
官,441,5B98,1271,bureaucrat,the government,,,,,,,,,, 
寛,1110,5BDB,226,tolerant,leniency,generosity,relax,feel at home,be at ease,broadminded,,,,, 
干,825,5E72,1648,dry,parch,,,,,,,,,, 
幹,637,5E79,1654,tree trunk,,,,,,,,,,, 
患,1101,60A3,604,afflicted,disease,suffer from,be ill,,,,,,,, 
感,246,611F,615,emotion,feeling,sensation,,,,,,,,, 
慣,638,6163,627,accustomed,get used to,become experienced,,,,,,,,, 
憾,1113,61BE,631,remorse,regret,be sorry,,,,,,,,, 
換,1105,63DB,1043,interchange,period,change,convert,replace,renew,,,,,, 
敢,1106,6562,826,daring,brave,bold,,,,,,,,, 
